RowNumber,DeleteTimeInSeconds
99,0.878000
98,0.911000
97,0.910000
96,0.841000
95,0.957000
94,0.834000
93,0.836000
92,0.892000
91,0.832000
90,0.780000
89,0.788000
88,0.872000
87,0.819000
86,0.742000
85,0.791000
84,0.776000
83,0.775000
82,0.738000
81,0.699000
80,0.703000
79,0.733000
78,0.721000
77,0.779000
76,0.692000
75,0.679000
74,0.642000
73,0.674000
72,0.672000
71,0.661000
70,0.614000
69,0.616000
68,0.616000
67,0.634000
66,0.630000
65,0.632000
64,0.558000
63,0.554000
62,0.575000
61,0.578000
60,0.571000
59,0.521000
58,0.509000
57,0.513000
56,0.528000
55,0.523000
54,0.511000
53,0.493000
52,0.462000
51,0.458000
50,0.446000
49,0.472000
48,0.474000
47,0.450000
46,0.417000
45,0.400000
44,0.404000
43,0.392000
42,0.429000
41,0.401000
40,0.388000
39,0.378000
38,0.376000
37,0.337000
36,0.333000
35,0.322000
34,0.315000
33,0.308000
32,0.297000
31,0.305000
30,0.304000
29,0.328000
28,0.279000
27,0.271000
26,0.251000
25,0.235000
24,0.228000
23,0.235000
22,0.219000
21,0.202000
20,0.194000
19,0.198000
18,0.191000
17,0.181000
16,0.172000
15,0.169000
14,0.156000
13,0.145000
12,0.133000
11,0.130000
10,0.111000
9,0.099000
8,0.092000
7,0.084000
6,0.075000
5,0.067000
4,0.059000
3,0.052000
2,0.043000
1,0.032000
0,0.017000
