RowNumber,FileSizeBytes
0,11188
1,11299
2,11410
3,11521
4,11632
5,11743
6,11854
7,11965
8,12076
9,12187
10,12298
11,12409
12,12520
13,12631
14,12742
15,12853
16,12964
17,13075
18,13186
19,13297
20,13408
21,13519
22,13630
23,13741
24,13852
25,13963
26,14074
27,14185
28,14296
29,14407
30,14518
31,14629
32,14740
33,14851
34,14962
35,15073
36,15184
37,15295
38,15406
39,15517
40,15628
41,15739
42,15850
43,15961
44,16072
45,16183
46,16294
47,16405
48,16516
49,16627
50,16738
51,16849
52,16960
53,17071
54,17182
55,17293
56,17404
57,17515
58,17626
59,17737
60,17848
61,17959
62,18070
63,18181
64,18292
65,18403
66,18514
67,18625
68,18736
69,18847
70,18958
71,19069
72,19180
73,19291
74,19402
75,19513
76,19624
77,19735
78,19846
79,19957
80,20068
81,20179
82,20290
83,20401
84,20512
85,20623
86,20734
87,20845
88,20956
89,21067
90,21178
91,21289
92,21400
93,21511
94,21622
95,21733
96,21844
97,21955
98,22066
99,22177
100,22177
101,22177
102,22177
103,22177
104,22177
105,22177
106,22177
107,22177
108,22177
109,22177
110,22177
111,22177
112,22177
113,22177
114,22177
115,22177
116,22177
117,22177
118,22177
119,22177
120,22177
121,22177
122,22177
123,22177
124,22177
125,22177
126,22177
127,22177
128,22177
129,22177
130,22177
131,22177
132,22177
133,22177
134,22177
135,22177
136,22177
137,22177
138,22177
139,22177
140,22177
141,22177
142,22177
143,22177
144,22177
145,22177
146,22177
147,22177
148,22177
149,22177
200,22292
201,22407
202,22522
203,22637
204,22752
205,22867
206,22982
207,23097
208,23212
209,23327
210,23442
211,23557
212,23672
213,23787
214,23902
215,24017
216,24132
217,24247
218,24362
219,24477
220,24592
221,24707
222,24822
223,24937
224,25052
225,25167
226,25282
227,25397
228,25512
229,25627
230,25742
231,25857
232,25972
233,26087
234,26202
235,26317
236,26432
237,26547
238,26662
239,26777
240,26892
241,27007
242,27122
243,27237
244,27352
245,27467
246,27582
247,27697
248,27812
249,27927
250,28042
251,28157
252,28272
253,28387
254,28502
255,28617
256,28732
257,28847
258,28962
259,29077
260,29192
261,29307
262,29422
263,29537
264,29652
265,29767
266,29882
267,29997
268,30112
269,30227
270,30342
271,30457
272,30572
273,30687
274,30802
275,30917
276,31032
277,31147
278,31262
279,31377
280,31492
281,31607
282,31722
283,31837
284,31952
285,32067
286,32182
287,32297
288,32412
289,32527
290,32642
291,32757
292,32872
293,32987
294,33102
295,33217
296,33332
297,33447
298,33562
299,33677
